CODE,YEAR,First Night,TOTAL NIGHTS,HOURSperNIGHT,NAME,LAT,LONG,PONDm,PONDd,HILLm,HABITAT
20020601,2002,7/30/2002,1,5,BPOND1,42.94902,71.629784,1305,N,2628,OPEN
20020602,2002,6/22/2002,1,5,BPOND4,42.923027,71.624522,1610,S,4063,STREAM
20020603,2002,6/21/2002,1,5,GARDNER,42.944503,71.651324,1272,N,908,POND
20020604,2002,7/31/2002,1,5,GREENTREE,42.938121,71.622118,1061,E,3420,POND
20020605,2002,6/21/2002,1,5,SRPOND,42.944375,71.654184,1478,W,608,POND
20020606,2002,7/30/2002,1,5,NROBYHILL,42.937118,71.649999,789,W,1276,FIELD
20020607,2002,6/23/2002,1,5,SRANGE,42.94419,71.653663,1424,N,690,FIELD
20020608,2002,6/23/2002,1,5,SEVEY,42.944729,71.667769,2416,N,181,POND
20020609,2002,6/25/2002,1,5,TOWER,42.922169,71.649984,1537,W,2828,ROAD
20020610,2002,7/31/2002,1,5,LAUREL2,42.9485,71.656369,1837,N,363,FIELD
20100101,2010,8/11/2010,1,0.25,01 JE HILL,42.945025,71.667963,2452,W,120,TRAIL
20100102,2010,8/11/2010,1,0.25,02 TRAIL,42.947845,71.652505,1639,N,780,TRAIL
20100103,2010,8/11/2010,1,0.25,03 SHOOT,42.944815,71.653965,1465,W,646,ROAD
20100104,2010,8/11/2010,1,0.25,04 HIGH FIELD,42.93733,71.650006,803,W,1356,FIELD
20100105,2010,8/11/2010,1,0.25,05 GARDNER,42.944503,71.651324,1272,N,908,POND
20100106,2010,8/11/2010,1,0.25,06 CORNER,42.946573,71.643843,1159,N,1491,TRAIL
20100107,2010,8/11/2010,1,0.25,07 BRIDGE,42.948843,71.62954,1328,N,2700,WETLAND
20100108,2010,8/11/2010,1,0.25,08 WETLAND,42.924577,71.65193,1402,S,2495,POND
20100109,2010,8/11/2010,1,0.25,09 SOUTH CORNER,42.928652,71.630169,829,S,3239,TRAIL
20100110,2010,8/11/2010,1,0.25,10 WETLAND,42.926355,71.628966,1081,S,3470,WETLAND
20100111,2010,8/11/2010,1,0.25,11 BROOK,42.922733,71.624562,1659,S,4057,WETLAND
20100112,2010,8/11/2010,1,0.25,12 SPEED,42.931411,71.626679,849,E,3289,TRAIL
20100113,2010,8/11/2010,1,0.25,13 GREEN,42.938398,71.621903,1254,E,3388,POND
20100114,2010,8/11/2010,1,0.25,14 EAST,42.943247,71.622816,1495,E,3232,TRAIL
20100115,2010,8/11/2010,1,0.25,15 DEER,42.940917,71.635087,621,N,2416,POND
20100201,2010,8/11/2010,143,24,CAMPSITE,42.944802,71.667611,2448,W,160,POND
20100202,2010,8/11/2010,143,24,LAUREL,42.951029,71.655156,2067,N,806,TRAIL
20100203,2010,8/11/2010,143,24,SHOOTING,42.94419,71.653663,1424,N,690,FIELD
20110101,2011,7/13/2011,8,5,01 JE HILL,42.945025,71.667963,2452,W,120,TRAIL
20110102,2011,7/13/2011,8,5,02 TRAIL,42.947845,71.652505,1639,N,780,TRAIL
20110103,2011,7/13/2011,8,5,03 SHOOT,42.944815,71.653965,1465,W,646,ROAD
20110104,2011,7/13/2011,8,5,04 HIGH FIELD,42.93733,71.650006,803,W,1356,FIELD
20110105,2011,7/13/2011,8,5,05 GARDNER,42.944503,71.651324,1272,N,908,POND
20110106,2011,7/13/2011,8,5,06 CORNER,42.946573,71.643843,1159,N,1491,TRAIL
20110107,2011,7/13/2011,8,5,07 BRIDGE,42.948843,71.62954,1328,N,2700,WETLAND
20110108,2011,7/13/2011,8,5,08 WETLAND,42.924577,71.65193,1402,S,2495,POND
20110109,2011,7/13/2011,8,5,09 SOUTH CORNER,42.928652,71.630169,829,S,3239,TRAIL
20110110,2011,7/13/2011,8,5,10 WETLAND,42.926355,71.628966,1081,S,3470,WETLAND
20110111,2011,7/13/2011,8,5,11 BROOK,42.922733,71.624562,1659,S,4057,WETLAND
20110112,2011,7/13/2011,8,5,12 SPEED,42.931411,71.626679,849,E,3289,TRAIL
20110113,2011,7/13/2011,8,5,13 GREEN,42.938398,71.621903,1254,E,3388,POND
20110114,2011,7/13/2011,8,5,14 EAST,42.943247,71.622816,1495,E,3232,TRAIL
20110115,2011,7/13/2011,8,5,15 DEER,42.940917,71.635087,621,N,2416,POND
20110201,2011,1/1/2011,365,24,CAMPSITE,42.94502,71.666974,2406,W,112,TRAIL
20110202,2011,1/1/2011,365,24,LAUREL,42.9485,71.656369,1837,N,363,FIELD
20110203,2011,1/1/2011,365,24,SHOOTING,42.94419,71.653663,1424,N,690,FIELD
20120201,2012,2/3/2012,100,24,CAMPSITE,42.94502,71.666974,2406,W,112,TRAIL
20120202,2012,2/3/2012,123,24,LAUREL,42.9485,71.656369,1837,N,363,FIELD
20120203,2012,3/8/2012,72,24,SHOOTING,42.94419,71.653663,1424,N,690,FIELD
20130201,2013,6/22/2013,193,24,CAMPSITE,42.94502,71.666974,2406,W,112,TRAIL
20130202,2013,6/22/2013,193,24,LAUREL,42.9485,71.656369,1837,N,363,FIELD
20140202,2014,1/1/2014,365,24,LAUREL,42.9485,71.656369,1837,N,363,FIELD
